담당팀	PJCODE	PJ명	진행	도급금액	착공	준공	공기	지역
주택건축사업1팀	HALU0	세운푸르지오헤리시티	착공	1062 	2019-10	2023-01	39	서울
도시정비사업2팀	KVHL0	안산푸르지오브리파크	착공	2916 	2020-03	2023-02	36	수도권
주택건축사업3팀	AAKS0	덕은리버워크	착공	1109 	2020-06	2023-03	33	수도권
주택건축사업3팀	AAKM0	청라국제도시역푸르지오시티	착공	1900 	2020-04	2023-04	37	인천
주택건축사업1팀	HALW0	기흥푸르지오포레피스	착공	1406 	2020-05	2023-05	36	수도권
주택건축사업2팀	HLAQ0	천안푸르지오레이크사이드	착공	2179 	2020-07	2023-05	35	충남
주택건축사업3팀	AALF0	시흥웨이브파크푸르지오시티	착공	635 	2020-11	2023-05	31	수도권
도시정비사업1팀	KVXF0	대치푸르지오써밋	착공	1662 	2020-08	2023-05	34	서울
도시정비사업3팀	HAHM0	달성파크푸르지오힐스테이트	착공	1689 	2020-10	2023-06	33	대구
도시정비사업2팀	HAJV0	힐스테이트푸르지오주안	착공	2543 	2019-11	2023-06	44	인천
공공사업1팀	HALE0	과천푸르지오오르투스	착공	1649 	2020-07	2023-06	36	수도권
주택건축사업1팀	HKYM0	검암역로열파크씨티푸르지오1단지	착공	4474 	2020-06	2023-06	37	인천
주택건축사업1팀	HKYN0	검암역로열파크씨티푸르지오2단지	착공	4651 	2020-06	2023-06	37	인천
주택건축사업2팀	HAJD0	영흥공원푸르지오파크비엔	착공	3251 	2020-09	2023-06	34	수도권
민간복합사업팀	AAKC0	감일푸르지오마크베르	착공	5230 	2020-08	2023-06	34	수도권
주택건축사업3팀	AAKT0	김해푸르지오하이엔드	착공	2527 	2020-07	2023-08	38	경남
도시정비사업2팀	HABL0	의정부역푸르지오더센트럴	착공	1552 	2020-11	2023-08	34	수도권
도시정비사업3팀	HABQ0	창원푸르지오더플래티넘	착공	1771 	2021-04	2023-08	29	경남
주택건축사업3팀	AAJY0	화서역푸르지오브리시엘	착공	3277 	2020-05	2023-09	40	수도권
주택건축사업2팀	HLEF0	익산푸르지오더퍼스트	착공	1188 	2021-06	2023-09	27	전북
도시정비사업2팀	HAAU0	광명푸르지오포레나	착공	1501 	2020-04	2023-09	42	수도권
도시정비사업3팀	HAFS0	대연푸르지오클라센트	착공	2116 	2020-07	2023-09	39	부산
공공사업1팀	HLDL0	다산진건A5BL공공주택	착공	434 	2021-06	2023-10	28	수도권
주택건축사업1팀	HLBG0	용계역푸르지오아츠베르1단지, 2단지	착공	2705 	2021-08	2023-10	27	대구
주택건축사업3팀	AAKR0	아현푸르지오클라시티	착공	544 	2020-07	2023-10	39	서울
도시정비사업3팀	HALB0	수성더팰리스푸르지오더샵	착공	1530 	2021-02	2023-10	32	대구
주택건축사업3팀	AAMB0	야탑동403물류센터	착공	951 	2021-08	2023-10	26	수도권
주택건축사업2팀	HLDH0	광양푸르지오더센트럴	착공	1291 	2021-04	2023-10	31	전남
도시정비사업3팀	HAHB0	산성역자이푸르지오	착공	3957 	2020-05	2023-10	42	수도권
도시정비사업3팀	HAEX0	더비치푸르지오써밋	착공	3574 	2020-08	2023-11	40	서울
민간복합사업팀	HLIR0	개포동도시형생활주택	착공	330 	2021-12	2024-01	26	서울
공공사업1팀	HLDK0	다산진건A3BL공공주택	착공	887 	2021-06	2024-01	31	수도권
주택건축사업1팀	HAED0	상도푸르지오클라베뉴	착공	1688 	2021-02	2024-01	35	서울
주택건축사업3팀	AAKW0	상인푸르지오센터파크	착공	2062 	2021-06	2024-01	31	대구
주택건축사업1팀	HLCW0	반고개역푸르지오엘리비엔	착공	686 	2021-06	2024-01	32	대구
도시정비사업1팀	KVZS0	둔촌주공재건축	착공	10264 	2020-02	2024-01	48	서울
주택건축사업3팀	AAKF0	수성푸르지오리버센트	착공	1381 	2021-10	2024-02	29	대구
주택건축사업3팀	AALK0	북구청역푸르지오에듀포레	착공	1220 	2021-08	2024-03	31	대구
주택건축사업3팀	AAKN0	평촌푸르지오센트럴파크	착공	1909 	2020-08	2024-04	44	수도권
주택건축사업3팀	AALJ0	가산동지식산업센터	착공	1876 	2021-01	2024-04	39	서울
주택건축사업1팀	HLEA0	구미푸르지오센트럴파크	착공	1619 	2021-07	2024-04	33	경북
도시정비사업3팀	HAJL0	평촌엘프라우드	착공	2068 	2021-05	2024-05	36	수도권
주택건축사업3팀	AAKU0	해운대우동548주상복합	착공	1225 	2020-09	2024-06	45	부산
주택건축사업1팀	AAMC0	신길AK푸르지오	착공	1155 	2021-10	2024-06	32	서울
주택건축사업1팀	HLFE0	김천푸르지오더퍼스트	착공	1401 	2022-02	2024-06	29	경북
주택건축사업3팀	AAMO0	위례지구업무4BL오피스	착공	561 	2022-01	2024-06	30	서울
주택건축사업3팀	HLDN0	김해푸르지오하이엔드2차	착공	2587 	2021-04	2024-06	39	경남
주택건축사업3팀	AAKV0	중앙로역푸르지오더센트럴	착공	930 	2021-01	2024-07	42	대구
주택건축사업1팀	HLCU0	동대구푸르지오브리센트	착공	1811 	2021-12	2024-07	31	대구
주택건축사업1팀	HLEN0	일산푸르지오더센트럴	착공	816 	2021-10	2024-07	34	수도권
주택건축사업2팀	HLEV0	지제역푸르지오엘리아츠	착공	1584 	2022-01	2024-07	31	수도권
공공사업1팀	HLEO0	오룡푸르지오파르세나	착공	1647 	2022-04	2024-07	28	전남
주택건축사업2팀	HLAL0	제주푸르지오더퍼스트	착공	1361 	2022-04	2024-08	28	제주
주택건축사업1팀	HLAB0	세운푸르지오더보타닉	착공	1211 	2021-08	2024-08	36	서울
주택건축사업3팀	AAMI0	가산아스크타워	착공	1059 	2022-01	2024-08	32	서울
주택건축사업3팀	AANK0	동탄푸르지오시티웍스	착공	965 	2022-07	2024-08	26	수도권
주택건축사업2팀	HLFF0	당진푸르지오클라테르	착공	1259 	2021-12	2024-08	33	충남
도시정비사업2팀	HAIO0	베르몬트로광명	착공	2795 	2021-04	2024-08	40	수도권
주택건축사업1팀	HLDJ0	왕길역로열파크씨티푸르지오	착공	2801 	2022-02	2024-09	31	인천
주택건축사업1팀	AAME0	세운푸르지오G-팰리스	착공	1487 	2021-09	2024-09	37	서울
주택건축사업1팀	HLBR0	펜타힐즈푸르지오2차	착공	1092 	2022-01	2024-09	33	경북
도시정비사업3팀	HACT0	안양역푸르지오더샵	착공	2948 	2021-12	2024-10	34	수도권
주택건축사업3팀	AAMP0	한남동90-4주거복합	착공	922 	2021-11	2024-10	35	서울
주택건축사업1팀	HLET0	구미푸르지오엘리포레시티1단지, 2단지	착공	3215 	2022-05	2024-10	30	경북
주택건축사업2팀	HLFO0	음성푸르지오더퍼스트	착공	2116 	2022-03	2024-10	32	충북
도시정비사업3팀	KVTB0	교대역푸르지오트레힐즈	착공	2227 	2021-10	2024-10	37	대구
공공사업1팀	AAMS0	청주전시관	착공	253 	2022-03	2024-11	33	충북
주택건축사업3팀	AAMK0	서면푸르지오시티시그니처	착공	753 	2021-11	2024-12	38	부산
주택건축사업1팀	HLDD0	태봉공원푸르지오파크몬트	착공	1302 	2021-08	2024-12	41	수도권
주택건축사업1팀	HLFP0	김해구산푸르지오파크테르	착공	1354 	2022-05	2025-02	34	전남
도시정비사업2팀	HALH0	라체르보푸르지오써밋	착공	2192 	2021-09	2025-03	42	서울
주택건축사업2팀	AAMT0	풍무역푸르지오시티	착공	863 	2022-08	2025-03	32	수도권
주택건축사업2팀	HLAS0	영통푸르지오트레센츠, 파인베르	착공	12406 	2022-07	2025-03	33	수도권
주택건축사업2팀	HLCY0	순천덕암동공동주택	착공	1551 	2021-12	2025-04	40	전남
주택건축사업3팀	AAMG0	평택고덕트라반트푸르지오시티	착공	1188 	2021-12	2025-04	41	수도권
주택건축사업1팀	HLFN0	음성푸르지오마크베르	착공	1484 	2022-08	2025-04	33	충북
주택건축사업2팀	HLGV0	음성푸르지오센터피크	착공	1906 	2022-07	2025-04	34	충북
도시정비사업1팀	KVWV0	신림3구역재개발	착공	1466 	2022-11	2025-04	30	서울
주택건축사업2팀	HLCN0	경서북청라푸르지오트레시엘	착공	3373 	2021-09	2025-05	45	인천
공공사업1팀	HLDM0	에코델타시티푸르지오센터파크	착공	1241 	2022-10	2025-05	32	부산
주택건축사업2팀	AAMQ0	서충주푸르지오더퍼스트	착공	2703 	2022-04	2025-06	39	충북
공공사업2팀		용인덕성데이터센터	미착공	2358 	2023-09	2025-08	24	수도권
공공사업2팀		망포역세권복합개발사업	미착공	2345 	2024-09	2025-09	13	수도권
주택건축사업1팀	HLHL0	포항푸르지오마린시티	착공	1539 	2022-09	2025-09	37	경북
