id;시군구;지역코드;법정동;아파트;전용면적;거래금액;층;년;월;광역시도;시자치구;전용;구분;거래유형;기준월
434264;서울특별시 동대문구;11230;전농동;청량리역롯데캐슬SKY-L65;29;28550;12;2023;1;서울특별시;동대문구;29;;직거래;2023-01-31
434265;서울특별시 동대문구;11230;전농동;청량리역롯데캐슬SKY-L65;85;116670;62;2023;1;서울특별시;동대문구;85;;중개거래;2023-01-31
434266;서울특별시 마포구;11440;아현동;공덕자이;60;104500;2;2023;1;서울특별시;마포구;60;입;중개거래;2023-01-31
434267;서울특별시 동작구;11590;흑석동;흑석리버파크자이;60;110000;6;2023;1;서울특별시;동작구;60;입;중개거래;2023-01-31
434268;서울특별시 서초구;11650;반포동;더샵반포리버파크;50;113500;4;2023;1;서울특별시;서초구;50;;중개거래;2023-01-31
434269;서울특별시 서초구;11650;반포동;래미안원베일리;201;1000000;35;2023;1;서울특별시;서초구;201;입;중개거래;2023-01-31
434270;서울특별시 강남구;11680;개포동;개포프레지던스자이;85;229500;14;2023;1;서울특별시;강남구;85;입;중개거래;2023-01-31
434271;서울특별시 강남구;11680;개포동;개포프레지던스자이;85;250000;17;2023;1;서울특별시;강남구;85;입;중개거래;2023-01-31
434272;서울특별시 강남구;11680;개포동;개포프레지던스자이;85;245000;19;2023;1;서울특별시;강남구;85;입;중개거래;2023-01-31
434273;서울특별시 강남구;11680;개포동;개포프레지던스자이;60;175000;5;2023;1;서울특별시;강남구;60;입;중개거래;2023-01-31
434274;서울특별시 강남구;11680;개포동;개포프레지던스자이;79;225000;7;2023;1;서울특별시;강남구;79;입;중개거래;2023-01-31
434275;서울특별시 강남구;11680;개포동;개포프레지던스자이;60;181000;7;2023;1;서울특별시;강남구;60;입;중개거래;2023-01-31
434276;서울특별시 강남구;11680;개포동;개포프레지던스자이;85;260000;12;2023;1;서울특별시;강남구;85;입;중개거래;2023-01-31
434277;서울특별시 강남구;11680;개포동;개포프레지던스자이;85;241084;7;2023;1;서울특별시;강남구;85;입;중개거래;2023-01-31
434278;서울특별시 강남구;11680;개포동;개포프레지던스자이;85;260000;12;2023;1;서울특별시;강남구;85;입;중개거래;2023-01-31
434279;서울특별시 강남구;11680;개포동;개포프레지던스자이;103;325000;4;2023;1;서울특별시;강남구;103;입;중개거래;2023-01-31
434280;서울특별시 강남구;11680;개포동;개포프레지던스자이;85;255000;19;2023;1;서울특별시;강남구;85;입;중개거래;2023-01-31
434281;서울특별시 강남구;11680;개포동;개포프레지던스자이;85;262000;12;2023;1;서울특별시;강남구;85;입;중개거래;2023-01-31
434282;서울특별시 강남구;11680;개포동;개포프레지던스자이;85;250000;5;2023;1;서울특별시;강남구;85;입;중개거래;2023-01-31
434283;서울특별시 강남구;11680;개포동;개포프레지던스자이;60;178000;5;2023;1;서울특별시;강남구;60;입;중개거래;2023-01-31
434284;경기도 수원시 장안구;41111;정자동;화서역푸르지오브리시엘;85;75542;16;2023;1;경기도;수원시 장안구;85;;중개거래;2023-01-31
434285;경기도 수원시 장안구;41111;정자동;화서역푸르지오브리시엘;85;77310;20;2023;1;경기도;수원시 장안구;85;;중개거래;2023-01-31
434286;경기도 수원시 장안구;41111;정자동;북수원자이렉스비아;60;54666;8;2023;1;경기도;수원시 장안구;60;입;중개거래;2023-01-31
434287;경기도 수원시 장안구;41111;정자동;화서역푸르지오브리시엘;105;92458;22;2023;1;경기도;수원시 장안구;105;;중개거래;2023-01-31
434288;경기도 수원시 장안구;41111;정자동;화서역푸르지오브리시엘;85;75875;6;2023;1;경기도;수원시 장안구;85;;직거래;2023-01-31
434289;경기도 수원시 장안구;41111;정자동;화서역푸르지오브리시엘;85;75249;27;2023;1;경기도;수원시 장안구;85;;중개거래;2023-01-31
434290;경기도 수원시 장안구;41111;정자동;화서역푸르지오브리시엘;85;74094;6;2023;1;경기도;수원시 장안구;85;;중개거래;2023-01-31
434291;경기도 수원시 장안구;41111;정자동;화서역푸르지오브리시엘;85;74627;36;2023;1;경기도;수원시 장안구;85;;중개거래;2023-01-31
434292;경기도 수원시 장안구;41111;정자동;화서역푸르지오브리시엘;85;76039;15;2023;1;경기도;수원시 장안구;85;;중개거래;2023-01-31
434293;경기도 수원시 장안구;41111;정자동;화서역푸르지오브리시엘;85;75638;39;2023;1;경기도;수원시 장안구;85;;중개거래;2023-01-31
434294;경기도 수원시 장안구;41111;정자동;화서역푸르지오브리시엘;85;76917;31;2023;1;경기도;수원시 장안구;85;;중개거래;2023-01-31
434295;경기도 수원시 장안구;41111;정자동;화서역푸르지오브리시엘;85;75857;31;2023;1;경기도;수원시 장안구;85;;중개거래;2023-01-31
434296;경기도 수원시 장안구;41111;정자동;화서역푸르지오브리시엘;85;76638;26;2023;1;경기도;수원시 장안구;85;;중개거래;2023-01-31
434297;경기도 수원시 장안구;41111;정자동;화서역푸르지오브리시엘;85;74347;22;2023;1;경기도;수원시 장안구;85;;중개거래;2023-01-31
434298;경기도 수원시 장안구;41111;연무동;서광교파크스위첸;76;52250;27;2023;1;경기도;수원시 장안구;76;입;중개거래;2023-01-31
434299;경기도 수원시 팔달구;41115;매교동;매교역푸르지오SKVIEW;60;50000;1;2023;1;경기도;수원시 팔달구;60;;중개거래;2023-01-31
434300;경기도 수원시 팔달구;41115;인계동;수원센트럴아이파크자이;60;51000;6;2023;1;경기도;수원시 팔달구;60;;중개거래;2023-01-31
434301;경기도 수원시 팔달구;41115;인계동;수원센트럴아이파크자이;74;59598;13;2023;1;경기도;수원시 팔달구;74;;중개거래;2023-01-31
434302;경기도 수원시 팔달구;41115;인계동;수원센트럴아이파크자이;74;57700;18;2023;1;경기도;수원시 팔달구;74;입;중개거래;2023-01-31
434303;경기도 수원시 팔달구;41115;인계동;수원센트럴아이파크자이;40;29921;7;2023;1;경기도;수원시 팔달구;40;;중개거래;2023-01-31
434304;경기도 수원시 팔달구;41115;인계동;수원센트럴아이파크자이;60;46645;14;2023;1;경기도;수원시 팔달구;60;입;중개거래;2023-01-31
434305;경기도 수원시 팔달구;41115;인계동;수원센트럴아이파크자이;74;59012;22;2023;1;경기도;수원시 팔달구;74;;직거래;2023-01-31
