년월	지수	전월대비	전년동월대비
2019-01-31	67.7 	-1.03 	16.18 
2019-02-28	66.6 	-1.51 	10.05 
2019-03-31	65.9 	-1.15 	5.18 
2019-04-30	65.5 	-0.48 	3.94 
2019-05-31	65.8 	0.33 	4.09 
2019-06-30	66.3 	0.80 	4.93 
2019-07-31	68.8 	3.75 	9.04 
2019-08-31	69.8 	1.54 	8.79 
2019-09-30	70.6 	1.15 	4.38 
2019-10-31	72.4 	2.47 	5.34 
2019-11-30	73.6 	1.65 	6.88 
2019-12-31	76.4 	3.86 	11.81 
2020-01-31	77.1 	0.83 	13.91 
2020-02-29	77.3 	0.34 	16.03 
2020-03-31	77.2 	-0.13 	17.23 
2020-04-30	76.5 	-0.91 	16.73 
2020-05-31	76.0 	-0.64 	15.60 
2020-06-30	76.5 	0.56 	15.32 
2020-07-31	78.9 	3.21 	14.72 
2020-08-31	80.7 	2.28 	15.55 
2020-09-30	82.7 	2.49 	17.08 
2020-10-31	83.4 	0.87 	15.25 
2020-11-30	84.4 	1.14 	14.67 
2020-12-31	85.4 	1.16 	11.69 
2021-01-31	86.7 	1.54 	12.47 
2021-02-28	88.2 	1.82 	14.14 
2021-03-31	89.6 	1.49 	15.99 
2021-04-30	90.1 	0.60 	17.77 
2021-05-31	90.8 	0.79 	19.46 
2021-06-30	91.8 	1.12 	20.12 
2021-07-31	92.9 	1.11 	17.67 
2021-08-31	94.5 	1.81 	17.14 
2021-09-30	96.3 	1.90 	16.47 
2021-10-31	97.7 	1.42 	17.10 
2021-11-30	98.9 	1.18 	17.16 
2021-12-31	99.6 	0.75 	16.68 
2022-01-31	100.0 	0.40 	15.38 
2022-02-28	100.1 	0.09 	13.42 
2022-03-31	100.4 	0.26 	12.04 
2022-04-30	100.7 	0.39 	11.80 
2022-05-31	101.4 	0.61 	11.60 
2022-06-30	101.4 	0.06 	10.44 
2022-07-31	101.2 	-0.24 	8.97 
2022-08-31	100.5 	-0.72 	6.26 
2022-09-30	99.3 	-1.12 	3.11 
2022-10-31	97.6 	-1.75 	-0.12 
2022-11-30	94.5 	-3.14 	-4.39 
2022-12-31	92.1 	-2.58 	-7.55 
2023-01-31	90.1 	-2.17 	-9.92 
2023-02-28	89.3 	-0.84 	-10.76 
2023-03-31	88.9 	-0.45 	-11.39 
2023-04-30	88.9 	-0.04 	-11.77 
2023-05-31	89.0 	0.10 	-12.22
