구분	전국	수도권	지방	서울	부산	대구	인천	광주	대전	울산	세종	경기	강원	충북	충남	전북	전남	경북	경남	제주
2006-01-31	60.0 	62.8 	57.6 	58.5 	47.9 	60.6 	59.8 	53.5 	73.4 	48.2 	75.6 	66.3 	58.1 	64.1 	74.1 	56.1 	49.3 	66.0 	61.0 	36.8 
2006-02-28	60.5 	63.7 	57.6 	59.4 	47.8 	60.7 	60.4 	53.0 	73.2 	48.1 	76.9 	67.2 	58.4 	65.2 	74.5 	56.6 	49.0 	65.4 	60.5 	35.9 
2006-03-31	61.2 	64.8 	57.7 	60.9 	47.4 	60.6 	60.9 	52.9 	72.4 	49.3 	81.9 	68.0 	57.6 	65.7 	75.2 	57.1 	49.5 	65.6 	61.2 	34.4 
2006-04-30	61.6 	65.6 	57.6 	61.6 	47.0 	60.7 	61.6 	52.6 	71.8 	50.0 	77.3 	68.9 	58.2 	66.5 	74.5 	57.3 	49.3 	65.6 	60.7 	34.2 
2006-05-31	62.0 	66.2 	57.6 	61.9 	46.7 	60.2 	62.2 	52.2 	71.1 	51.0 	77.9 	69.8 	59.0 	66.0 	72.5 	57.7 	50.9 	65.6 	61.0 	35.0 
2006-06-30	62.5 	66.5 	58.3 	61.8 	46.9 	59.8 	62.8 	52.9 	70.7 	52.5 	81.3 	70.3 	59.8 	66.7 	74.7 	58.8 	51.9 	67.8 	61.0 	36.1 
2006-07-31	62.6 	66.8 	58.2 	62.2 	46.8 	59.2 	62.7 	53.1 	70.2 	52.9 	76.3 	70.7 	58.4 	66.4 	75.0 	58.7 	52.0 	67.9 	60.8 	36.6 
2006-08-31	63.4 	67.8 	58.8 	63.0 	46.9 	59.5 	63.6 	53.4 	70.6 	53.8 	72.6 	71.9 	59.0 	66.7 	74.6 	59.4 	53.0 	69.1 	61.9 	37.0 
2006-09-30	64.6 	69.4 	59.1 	64.3 	46.9 	59.5 	64.2 	53.3 	70.5 	56.5 	72.2 	73.9 	59.3 	66.6 	75.0 	59.8 	52.9 	70.0 	62.0 	37.1 
2006-10-31	67.2 	73.3 	59.5 	67.3 	47.1 	59.3 	66.1 	53.7 	70.4 	58.4 	72.9 	78.7 	59.4 	66.9 	74.4 	60.6 	53.2 	70.1 	62.2 	37.1 
2006-11-30	69.9 	77.2 	59.9 	70.1 	47.2 	59.4 	69.0 	53.4 	71.1 	60.2 	73.5 	83.6 	58.5 	66.5 	74.2 	61.0 	54.1 	71.1 	63.2 	39.1 
2006-12-31	70.9 	79.1 	59.6 	72.3 	47.0 	59.0 	71.2 	53.0 	70.3 	61.1 	71.5 	85.4 	57.6 	66.5 	73.3 	60.8 	54.0 	70.8 	63.2 	37.0 
2007-01-31	72.0 	80.6 	60.7 	73.2 	47.5 	59.3 	73.6 	53.8 	70.8 	64.1 	74.3 	86.9 	58.8 	67.4 	74.9 	61.7 	55.7 	72.8 	64.0 	37.4 
2007-02-28	71.9 	80.5 	60.7 	73.0 	47.4 	58.8 	74.1 	54.1 	70.4 	65.0 	74.2 	86.8 	59.2 	67.1 	75.0 	62.2 	55.7 	73.2 	63.7 	36.3 
2007-03-31	72.2 	81.1 	61.0 	73.6 	47.7 	59.1 	75.1 	54.0 	69.9 	66.6 	75.2 	87.3 	58.5 	67.1 	75.2 	62.0 	56.0 	73.9 	64.0 	37.5 
