구분	제2종일반	제3종일반	준주거	중심상업	일반상업	근린상업	유통상업	전용공업	일반공업	준공업
서울특별시	200	250	400	1000	800	600	600	200	200	400
부산광역시	220	300	400	1300	1000	700	800	300	350	400
대구광역시	220	250	400	1300	1000	800	900	300	350	400
인천광역시	250	300	500	1300	1000	700	800	300	350	400
광주광역시	220	250	400	1300	1000	700	800	300	350	400
대전광역시	200	250	400	1300	1100	700	900	300	350	400
울산광역시	200	300	500	1300	1200	700	900	300	350	400
세종특별자치시	250	300	400	1300	1100	700	900	300	350	400
수원시	250	300	400	1000	800	600	400	300	350	400
성남시	210	280	400	1000	800	600	600	300	350	400
고양시	230	250	380	1200	900	700	400	300	350	400
용인시	240	290	450	1100	900	700	800	250	300	350
부천시	230	280	400	1000	800	600	600	300	350	400
안산시	250	300	500	1100	1100	800	1000	300	350	400
안양시	240	260	300	1000	800	600	600	300	300	300
남양주시	250	270	400	1500	900	900	900	300	350	400
화성시	250	270	400	1000	800	400	400	300	350	400
평택시	250	300	500	1500	1300	900	1100	300	350	400
의정부시	250	300	500	1000	1000	500	500	300	350	400
시흥시	250	300	500	1500	1300	0	0	0	350	400
파주시	250	300	300	800	700	400	400	200	250	250
광명시	240	280	450	1100	800	700	700	250	300	300
김포시	250	300	500	1500	1300	900	1100	300	350	400
군포시	230	280	300	1000	800	600	500	250	350	300
광주시	230	300	450	1000	900	500	400	300	350	400
이천시	250	300	500	1500	1300	900	1100	300	350	400
양주시	250	270	400	1500	900	900	900	300	350	400
오산시	230	280	400	1000	800	500	400	300	350	400
구리시	250	280	500	1500	1300	900	1100	300	350	400
안성시	250	300	500	1500	1300	900	1100	300	350	400
포천시	250	300	500	1000	800	600	600	250	350	350
의왕시	250	300	500	1000	1300	700	700	300	350	400
하남시	250	300	500	1500	1300	900	1100	0	350	400
여주시	250	300	500	1500	1300	900	1100	300	350	400
양평군	250	300	500	1500	1300	900	1100	300	350	400
동두천시	250	300	500	1500	1300	900	1100	300	350	400
과천시	250	300	500	1500	1300	900	1100	0	0	0
가평군	250	300	500	1500	1300	900	1100	300	350	400
연천군	250	300	500	1500	1300	900	1000	300	300	350
춘천시	250	300	500	1500	1300	900	1100	300	350	400
